battery_id,battery_formula,working_ion,max_voltage_step,elements,nelements,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,material_ids
mp-776296_Li,Li0-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.10640937,3.517563238,170.8728824,583.2220918,601.0561695,2051.52059,0,0.037746336,"[MPID(mp-777460), MPID(mp-776296)]"
mp-26607_Li,Li0-1MnPO4,Li,0.25733595,"[Element Mn, Element P, Element O]",3,0.069917163,4.307593643,170.8728824,566.7424618,736.0509419,2441.296226,0.130776222,0.036978754,"[MPID(mp-697761), MPID(mp-755395), MPID(mp-26607), MPID(mp-857359), MPID(mp-859086)]"
mp-754310_Li,Li0-1Fe5(OF2)4,Li,0,"[Element Fe, Element O, Element F]",3,0.041917929,4.702296313,53.37336868,218.9951161,250.9773948,1029.779927,0.075074565,0.050618611,"[MPID(mp-754310), MPID(mp-1176720)]"
mp-771388_Li,Li0-2MnP2O7,Li,0.447934508,"[Element Mn, Element P, Element O]",3,0.165570663,3.965911017,220.8033383,615.4845507,875.6863919,2440.95696,0.006473889,0.029375898,"[MPID(mp-771388), MPID(mp-776412), MPID(mp-775905)]"
mp-540146_Li,Li0-0.5MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.036602962,4.061879068,87.36959641,250.1135856,354.8847349,1015.931138,0.08208414,0.054224478,"[MPID(mp-540146), MPID(mp-1176680)]"
mp-766388_Li,Li0-1MnPO4,Li,0.200325333,"[Element Mn, Element P, Element O]",3,0.085186918,3.932579707,170.8728824,556.9857234,671.9712296,2190.390753,0.069808134,0.038293813,"[MPID(mp-849889), MPID(mp-766388), MPID(mp-859101)]"
mp-771660_Li,Li0-2MnP2O7,Li,0.632397565,"[Element Mn, Element P, Element O]",3,0.19442995,4.001296423,220.8033383,602.0344273,883.4996078,2408.918201,0,0.018083423,"[MPID(mp-771660), MPID(mp-780706), MPID(mp-775903)]"
mp-776904_Li,Li0-1Fe2OF3,Li,0,"[Element Fe, Element O, Element F]",3,0.077114223,3.240461656,139.863775,525.1570909,453.2231999,1701.751416,0.091387364,0.034207641,"[MPID(mp-777541), MPID(mp-776904)]"
mp-752802_Li,Li0-1Fe5(OF2)4,Li,0,"[Element Fe, Element O, Element F]",3,0.029146892,4.919644203,53.37336868,196.9725794,262.5779838,969.0350086,0.121693183,0.082572423,"[MPID(mp-752802), MPID(mp-754972)]"
mp-31960_Li,Li1-2MnP2O7,Li,0,"[Element Mn, Element P, Element O]",3,0.057256431,3.943506073,110.4016691,305.8361082,435.3696528,1206.06655,0.017101071,0.00674717,"[MPID(mp-31960), MPID(mp-1101535)]"
mp-25971_Li,Li0-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.067393933,3.746454333,170.8728824,576.3703074,640.1674506,2159.345036,0.052521748,0.050066249,"[MPID(mp-25972), MPID(mp-25971)]"
mp-26005_Li,Li0-1Mn6P7O24,Li,0,"[Element Mn, Element P, Element O]",3,0.026426335,3.967335698,28.59217462,94.82146168,113.434755,376.1885699,0.003451735,0,"[MPID(mp-504168), MPID(mp-26005)]"
mp-755561_Li,Li0-2MnP2O7,Li,0,"[Element Mn, Element P, Element O]",3,0.221623498,3.70787446,220.8033383,564.9944698,818.7110588,2094.928565,0.005803037,0.071822947,"[MPID(mp-755561), MPID(mp-1177905)]"
mp-26941_Li,Li0-1MnPO4,Li,0,"[Element Mn, Element P, Element O]",3,0.026339894,4.020357123,170.8728824,563.3127436,686.9700098,2264.718401,0.092887265,0.045536294,"[MPID(mp-689981), MPID(mp-26941)]"
mp-26632_Li,Li0-1MnP2O7,Li,0,"[Element Mn, Element P, Element O]",3,0.088832242,4.439181301,113.6511403,328.8767078,504.5180168,1459.943332,0.01172176,0.005569989,"[MPID(mp-26632), MPID(mp-1101530), MPID(mp-705357), MPID(mp-782650)]"
mp-26138_Li,Li0-1MnP2O7,Li,0,"[Element Mn, Element P, Element O]",3,0.060401887,4.689458236,113.6511403,357.3231152,532.9622759,1675.651826,0.030622465,0,"[MPID(mp-26138), MPID(mp-31924)]"
mp-779353_Li,Li0-3Fe5OF11,Li,0,"[Element Fe, Element O, Element F]",3,0.020976252,3.51637402,153.1426179,566.9472614,538.5067229,1993.598621,0.095695734,0.055845397,"[MPID(mp-1178250), MPID(mp-779353)]"
